date,amount,ref,desc
2026-05-12,314840.88,TXN90011,Meridian Insurance Co - INV-10011 payment
2026-07-21,178816.79,TXN90253,ORBIT MANUFACTURING CO pymt ref 10346
2026-06-17,24057.66,TXN90260,Meridian Insurance Co - combined settlement INV-10354+INV-10356
2026-06-29,3698.37,TXN90317,Delta Machine Works - unrelated payment TXN90317
2026-06-18,242735.04,TXN90100,Zenith Marketing Agency - INV-10130 payment
2026-04-28,315597.08,TXN90201,CRESTVIEW ANLYTCS pymt ref 10265
2026-05-21,16229.82,TXN90312,Harbor Freight Traders partial/adjusted payment TXN90312
2026-07-19,351437.23,TXN90097,Meridian Insurance Co - INV-10124 payment
2026-06-17,112439.42,TXN90036,Crestview Analytics - INV-10052 payment
2026-06-20,95762.77,TXN90226,ZENITH MARKETING AGCY pymt ref 10294
2026-06-28,68664.23,TXN90308,Sunrise Foods Pvt Ltd - unrelated payment TXN90308
2026-07-29,290910.95,TXN90103,Pinecrest Realty - INV-10136 payment
2026-07-15,3091.87,TXN90323,Silverline Textiles - unrelated payment TXN90323
2026-06-17,249757.66,TXN90198,Northgate Retailers - INV-10260 payment
2026-07-18,333204.38,TXN90060,Hilltop Energy Corp - INV-10084 payment
2026-06-11,102657.66,TXN90252,SUNRISE FOODS PVT. LTD. pymt ref 10343
2026-07-20,79696.4,TXN90273,Sunrise Foods Pvt Ltd - combined settlement INV-10382+INV-10383+INV-10387
2026-07-13,113234.31,TXN90239,HILL TOP ENERGY CORP pymt ref 10319
2026-06-08,167430.63,TXN90288,Northgate Retailers - combined settlement INV-10438+INV-10439+INV-10440
2026-05-03,35795.62,TXN90122,Silverline Textiles - INV-10155 payment
2026-05-14,260104.38,TXN90184,Silverline Textiles - INV-10241 payment
2026-05-14,51979.56,TXN90148,Northgate Retailers - INV-10189 payment
2026-06-21,238276.64,TXN90038,Nimbus Cloud Services - INV-10054 payment
2026-06-08,117732.85,TXN90058,Crestview Analytics - INV-10077 payment
2026-05-29,83959.85,TXN90193,Falcon Freight Systems - INV-10254 payment
2026-06-18,15867.88,TXN90087,Redwood Construction - INV-10112 payment
2026-07-28,117016.79,TXN90243,CREST VIEW ANALYTICS pymt ref 10328
2026-05-10,297690.51,TXN90004,Everwood Furniture - INV-10007 payment
2026-06-02,259316.06,TXN90044,Granite Point Bank - INV-10059 payment
2026-05-17,160135.77,TXN90229,HILLTOP ENRGY CORP pymt ref 10300
2026-05-06,230154.74,TXN90082,Redwood Construction - INV-10107 payment
2026-06-09,358324.82,TXN90102,Hilltop Energy Corp - INV-10134 payment
2026-07-04,175229.93,TXN90209,COPPERFIELD LEGAL ASSOC pymt ref 10274
2026-07-14,229305.11,TXN90143,Falcon Freight Systems - INV-10183 payment
2026-05-23,49675.68,TXN90277,Silverline Textiles - combined settlement INV-10399+INV-10400
2026-06-22,143005.11,TXN90211,CREST VIEW ANALYTICS pymt ref 10276
2026-07-24,179994.89,TXN90075,Meridian Insurance Co - INV-10101 payment
2026-07-24,93397.08,TXN90203,IRONCLAD SEC SERVICES pymt ref 10269
2026-07-13,194587.59,TXN90045,Orbit Manufacturing - INV-10061 payment
2026-05-29,52915.33,TXN90140,Meridian Insurance Co - INV-10182 payment
2026-07-09,355099.27,TXN90188,Silverline Textiles - INV-10247 payment
2026-05-18,23966.42,TXN90020,Hilltop Energy Corp - INV-10026 payment
2026-05-14,208872.26,TXN90077,Quantum Office Supplies - INV-10103 payment
2026-07-17,55949.25,TXN90326,Hilltop Energy Corp partial/adjusted payment TXN90326
2026-06-03,29413.01,TXN90316,Harbor Freight Traders - unrelated payment TXN90316
2026-05-22,227691.24,TXN90116,Bluepeak Logistics - INV-10150 payment
2026-05-18,321408.76,TXN90192,Silverline Textiles - INV-10253 payment
2026-05-23,102927.92,TXN90278,Orbit Manufacturing - combined settlement INV-10403+INV-10406+INV-10410
2026-05-11,59522.52,TXN90275,Vertex Consulting Group - combined settlement INV-10395+INV-10396+INV-10398
2026-05-25,78843.8,TXN90114,Redwood Construction - INV-10147 payment
2026-07-08,69855.86,TXN90270,Falcon Freight Systems - combined settlement INV-10375+INV-10378
2026-05-01,255963.5,TXN90041,Pinecrest Realty - INV-10056 payment
2026-07-07,20274.45,TXN90237,BRIGHTLINE TEL pymt ref 10315
2026-06-18,195081.75,TXN90224,EVER WOOD FURNITURE pymt ref 10291
2026-05-27,266634.31,TXN90132,Northgate Retailers - INV-10170 payment
2026-05-21,37972.07,TXN90286,Aster Pharma Ltd - combined settlement INV-10434+INV-10437
2026-07-18,200713.14,TXN90130,Falcon Freight Systems - INV-10167 payment
2026-07-27,26634.31,TXN90187,Granite Point Bank - INV-10245 payment
2026-06-08,266925.55,TXN90109,Aster Pharma Ltd - INV-10142 payment
2026-07-03,85096.35,TXN90233,EVER WOOD FURNITURE pymt ref 10308
2026-06-30,258578.83,TXN90206,GRANITE POINT BK pymt ref 10271
2026-07-29,69624.09,TXN90024,Coral Bay Hospitality - INV-10029 payment
2026-06-17,3245.26,TXN90123,Brightline Telecom - INV-10157 payment
2026-05-25,184048.91,TXN90257,CREST VIEW ANALYTICS pymt ref 10350
2026-05-03,49210.22,TXN90026,Quantum Office Supplies - INV-10035 payment
2026-05-13,170003.65,TXN90189,Delta Machine Works - INV-10251 payment
2026-05-12,25077.37,TXN90166,Harbor Freight Traders - INV-10219 payment
2026-05-08,98727.92,TXN90279,Ironclad Security Services - combined settlement INV-10411+INV-10412+INV-10413
2026-07-09,294134.31,TXN90101,Hilltop Energy Corp - INV-10132 payment
2026-07-09,97109.49,TXN90030,Redwood Construction - INV-10043 payment
2026-06-19,53943.39,TXN90333,Delta Machine Works partial/adjusted payment TXN90333
2026-07-09,98497.08,TXN90160,Quantum Office Supplies - INV-10210 payment
2026-07-01,363727.01,TXN90066,Hilltop Energy Corp - INV-10093 payment
2026-05-04,198297.81,TXN90067,Vertex Consulting Group - INV-10096 payment
2026-05-27,115752.25,TXN90280,Harbor Freight Traders - combined settlement INV-10415+INV-10416+INV-10417
2026-07-28,44484.68,TXN90274,Sunrise Foods Pvt Ltd - combined settlement INV-10388+INV-10389+INV-10393
2026-06-29,62658.56,TXN90265,Hilltop Energy Corp - combined settlement INV-10364+INV-10365
2026-06-06,2491.3,TXN90334,Meridian Insurance Co partial/adjusted payment TXN90334
2026-07-12,83215.32,TXN90262,Granite Point Bank - combined settlement INV-10360+INV-10362
2026-05-31,229482.48,TXN90064,Redwood Construction - INV-10092 payment
2026-05-14,321553.28,TXN90177,Everwood Furniture - INV-10233 payment
2026-07-01,127714.6,TXN90135,Falcon Freight Systems - INV-10176 payment
2026-06-16,105798.54,TXN90180,Harbor Freight Traders - INV-10234 payment
2026-07-18,297528.47,TXN90199,SUNRISE FOODS pymt ref 10264
2026-06-29,2723.36,TXN90245,ASTER PHARMA LIMITED pymt ref 10331
2026-07-29,171204.38,TXN90196,Harbor Freight Traders - INV-10257 payment
2026-05-15,141502.19,TXN90126,Acme Supplies Ltd - INV-10159 payment
2026-05-03,21465.69,TXN90235,Coral Bay Hospitlity pymt ref 10311
2026-05-18,13587.59,TXN90174,Ironclad Security Services - INV-10229 payment
2026-05-14,173651.82,TXN90107,Nimbus Cloud Services - INV-10141 payment
2026-07-29,158502.19,TXN90022,Coral Bay Hospitality - INV-10027 payment
2026-05-19,309048.91,TXN90219,MERIDIAN INS CO pymt ref 10286
2026-06-03,97753.28,TXN90018,Crestview Analytics - INV-10021 payment
2026-07-11,228133.58,TXN90112,Falcon Freight Systems - INV-10146 payment
2026-05-23,141269.34,TXN90048,Northgate Retailers - INV-10067 payment
2026-05-21,2817.09,TXN90298,FX conversion adjustment
2026-05-17,298980.29,TXN90154,Crestview Analytics - INV-10198 payment
2026-05-20,18401.46,TXN90085,Meridian Insurance Co - INV-10110 payment
2026-07-07,65288.32,TXN90025,Copperfield Legal Associates - INV-10033 payment
2026-06-07,55944.53,TXN90215,BLUEPEAK LOG pymt ref 10281
2026-07-02,266049.64,TXN90150,Crestview Analytics - INV-10191 payment
2026-05-07,243422.63,TXN90248,Northgate Retailer pymt ref 10335
2026-05-22,10850.43,TXN90296,Unidentified wire transfer
2026-07-10,46730.66,TXN90051,Crestview Analytics - INV-10071 payment
2026-05-19,217173.72,TXN90222,NORTH GATE RETAILERS pymt ref 10288
2026-05-05,193113.14,TXN90019,Orbit Manufacturing - INV-10023 payment
2026-07-09,294848.18,TXN90157,Delta Machine Works - INV-10202 payment
2026-05-03,171170.07,TXN90094,Quantum Office Supplies - INV-10122 payment
2026-05-06,113403.65,TXN90217,BRIGHT LINE TELECOM pymt ref 10283
2026-06-15,190378.1,TXN90028,Bluepeak Logistics - INV-10039 payment
2026-05-01,191628.47,TXN90002,Aster Pharma Ltd - INV-10002 payment
2026-05-22,4855.47,TXN90014,Acme Supplies Ltd - INV-10015 payment
2026-05-26,360998.54,TXN90050,Vertex Consulting Group - INV-10070 payment
2026-05-12,195178.83,TXN90119,Pinecrest Realty - INV-10152 payment
2026-06-16,33985.58,TXN90267,Redwood Construction - combined settlement INV-10370+INV-10372
2026-06-18,959.83,TXN90295,Unidentified wire transfer
2026-06-28,58155.28,TXN90329,Brightline Telecom - unrelated payment TXN90329
2026-07-23,229465.69,TXN90106,Granite Point Bank - INV-10139 payment
2026-06-09,336317.52,TXN90031,Meridian Insurance Co - INV-10047 payment
2026-05-18,18970.8,TXN90127,Coral Bay Hospitality - INV-10163 payment
2026-06-07,349443.8,TXN90072,Zenith Marketing Agency - INV-10100 payment
2026-05-19,120018.25,TXN90159,Coral Bay Hospitality - INV-10206 payment
2026-07-13,143172.99,TXN90047,Nimbus Cloud Services - INV-10064 payment
2026-07-04,122627.01,TXN90238,Granite Pt Bank pymt ref 10316
2026-05-07,350412.41,TXN90172,Harbor Freight Traders - INV-10226 payment
2026-06-24,299465.69,TXN90205,ASTER PHARMA LIMITED pymt ref 10270
2026-06-05,54766.67,TXN90314,Sunrise Foods Pvt Ltd - unrelated payment TXN90314
2026-06-25,72157.66,TXN90266,Delta Machine Works - combined settlement INV-10367+INV-10368
2026-06-24,331912.41,TXN90170,Sunrise Foods Pvt Ltd - INV-10222 payment
2026-07-06,99113.51,TXN90284,Ironclad Security Services - combined settlement INV-10425+INV-10428+INV-10431
2026-06-30,36277.37,TXN90214,FALCON FRIEGHT SYSTEMS pymt ref 10279
2026-05-22,7554.63,TXN90310,Granite Point Bank partial/adjusted payment TXN90310
2026-07-10,208485.4,TXN90016,Brightline Telecom - INV-10018 payment
2026-05-20,146915.33,TXN90133,Zenith Marketing Agency - INV-10173 payment
2026-07-01,70621.8,TXN90336,Northgate Retailers partial/adjusted payment TXN90336
2026-07-04,283632.85,TXN90137,Delta Machine Works - INV-10178 payment
2026-05-26,98362.04,TXN90242,SUNRISE FOODS pymt ref 10327
2026-05-03,13824.82,TXN90099,Falcon Freight Systems - INV-10127 payment
2026-07-14,91174.77,TXN90283,Ironclad Security Services - combined settlement INV-10419+INV-10421+INV-10422
2026-07-19,131811.68,TXN90156,Crestview Analytics - INV-10200 payment
2026-06-19,19448.91,TXN90092,Aster Pharma Ltd - INV-10118 payment
2026-07-24,38974.8,TXN90331,Everwood Furniture - unrelated payment TXN90331
2026-05-19,335284.67,TXN90183,Delta Machine Works - INV-10237 payment
