date,amount,ref,desc
2026-07-27,12864.86,INV-10441,Coral Bay Hospitality invoice INV-10441
2026-05-19,27722.52,INV-10434,Aster Pharma Ltd invoice INV-10434
2026-05-18,321408.76,INV-10253,Silverline Textiles invoice INV-10253
2026-07-11,91567.88,INV-10098,Harbor Freight Traders invoice INV-10098
2026-07-29,69624.09,INV-10029,Coral Bay Hospitality invoice INV-10029
2026-05-21,5828.83,INV-10400,Silverline Textiles invoice INV-10400
2026-05-18,23966.42,INV-10026,Hilltop Energy Corp invoice INV-10026
2026-05-29,352809.49,INV-10215,Aster Pharma Ltd invoice INV-10215
2026-05-15,54766.67,INV-10472,Hilltop Energy Corp invoice INV-10472
2026-05-08,243422.63,INV-10335,Northgate Retailers invoice INV-10335
2026-06-16,105798.54,INV-10234,Harbor Freight Traders invoice INV-10234
2026-06-07,68063.06,INV-10438,Northgate Retailers invoice INV-10438
2026-06-17,3245.26,INV-10157,Brightline Telecom invoice INV-10157
2026-05-15,141502.19,INV-10159,Acme Supplies Ltd invoice INV-10159
2026-05-03,49210.22,INV-10035,Quantum Office Supplies invoice INV-10035
2026-07-04,338226.28,INV-10333,Meridian Insurance Co invoice INV-10333
2026-05-02,21465.69,INV-10311,Coral Bay Hospitality invoice INV-10311
2026-06-23,34365.14,INV-10456,Delta Machine Works invoice INV-10456 (payment pending)
2026-05-01,315597.08,INV-10265,Crestview Analytics invoice INV-10265
2026-07-27,49503.6,INV-10442,Coral Bay Hospitality invoice INV-10442
2026-05-18,18970.8,INV-10163,Coral Bay Hospitality invoice INV-10163
2026-07-03,122627.01,INV-10316,Granite Point Bank invoice INV-10316
2026-06-16,6979.28,INV-10356,Meridian Insurance Co invoice INV-10356
2026-05-11,45424.32,INV-10395,Vertex Consulting Group invoice INV-10395
2026-06-14,38974.8,INV-10487,Acme Supplies Ltd invoice INV-10487
2026-07-19,178816.79,INV-10346,Orbit Manufacturing invoice INV-10346
2026-06-15,195081.75,INV-10291,Everwood Furniture invoice INV-10291
2026-07-29,171204.38,INV-10257,Harbor Freight Traders invoice INV-10257
2026-05-28,163588.32,INV-10339,Orbit Manufacturing invoice INV-10339
2026-05-06,63874.77,INV-10413,Ironclad Security Services invoice INV-10413
